"項目","単位","1985.0","1986.0","1987.0","1988.0","1989.0","1990.0","1991.0","1992.0","1993.0","1994.0","1995.0","1996.0","1997.0","1998.0","1999.0","2000.0","2001.0","2002.0","2003.0","2004.0","2005.0","2006.0","2007.0","2008.0","2009.0","2010.0","有効数字(少数桁)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｖ-02 地方公務員数（県職員）_ 全職種総数","人","19699.0","･･･","･･･","･･･","･･･","19239.0","19179.0","19193.0","19161.0","19071.0","19029.0","19082.0","19116.0","19124.0","19133.0","18942.0","18807.0","18625.0","18393.0","18198.0","17925.0","16562.0","16327.0","16085.0","15858.0","15687.0","15391.0"
"Ｖ-02 地方公務員数（県職員）_ 一般行政職","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","4581.0","4601.0","4550.0","4534.0","4516.0","4470.0","4462.0","4391.0","4300.0","4218.0","4107.0","4031.0","3996.0","3959.0"
"Ｖ-02 地方公務員数（県職員）_ 技能労務職","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","661.0","634.0","606.0","610.0","575.0","541.0","500.0","473.0","449.0","421.0","395.0","348.0","316.0","262.0"
"Ｖ-02 地方公務員数（県職員）_ 高等学校教育職","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","2294.0","2289.0","2268.0","2252.0","2234.0","2190.0","2161.0","2905.0","2861.0","2830.0","1979.0","2724.0","2686.0","2667.0"
"Ｖ-02 地方公務員数（県職員）_ 小中学校教育職","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","6933.0","6830.0","6710.0","6607.0","6492.0","6361.0","6223.0","6072.0","5938.0","5852.0","5801.0","5770.0","5706.0","5534.0"
"Ｖ-02 地方公務員数（県職員）_ 警察職","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","1984.0","1982.0","1993.0","1972.0","1994.0","2023.0","2050.0","2089.0","2096.0","2107.0","2130.0","2124.0","2152.0","2140.0"
"Ｖ-02 地方公務員数（県職員）_ その他","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","2671.0","2797.0","2815.0","2832.0","2814.0","2808.0","2802.0","1995.0","918.0","899.0","1673.0","861.0","831.0","829.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｖ-03 地方公務員数（市町村職員）_ 全職種総数","人","15473.0","･･･","･･･","･･･","･･･","15669.0","15708.0","15858.0","19161.0","19071.0","16331.0","19082.0","19116.0","16370.0","16409.0","16352.0","16309.0","16199.0","16003.0","15811.0","15485.0","15218.0","15024.0","14797.0","14449.0","14222.0","13832.0"
